Protein_ID,Sequence_Length,Molecular_Weight_kDa,Isoelectric_Point,Hydrophobicity,Secondary_Structure,Buffer_Type,Precipitant_Type,Precipitant_Concentration_%,pH,Temperature_C,Crystallization_Method,Crystallized
P09244,840,106.28,6.27,0.665,Alpha,Phosphate,Ammonium sulfate,5.83,9.1,25,Counter-diffusion,0
P09245,386,26.03,5.29,0.978,Alpha,HEPES,Ammonium sulfate,8.78,9.4,25,Dialysis,0
P09246,303,7.12,6.95,0.008,Mixed,HEPES,Ammonium sulfate,11.05,4.6,4,Dialysis,1
P09247,353,95.59,7.15,0.949,Beta,Tris,MPD,29.19,8.5,4,Microbatch,0
P09248,429,21.95,6.1,-0.701,Alpha,Tris,Ethanol,27.9,9.2,20,Batch under oil,0
P09249,179,116.71,8.5,0.672,Beta,Citrate,Ethanol,26.75,5.2,20,Sitting-drop,0
P09250,645,130.57,9.43,-0.28,Mixed,HEPES,PEG 3350,19.44,6.1,37,Counter-diffusion,1
P09251,325,141.99,5.27,-0.27,Beta,HEPES,Ammonium sulfate,37.71,8.6,20,Vapor diffusion,0
P09252,748,101.35,9.02,-0.463,Alpha,Tris,Ethanol,38.7,4.8,20,Free interface diffusion,0
P09253,607,74.89,4.79,-0.653,Beta,Tris,Ethanol,17.94,7.1,37,Dialysis,1
P09254,948,56.08,5.37,-0.116,Mixed,Phosphate,MPD,23.42,5.3,37,Hanging-drop,0
P09255,232,76.18,7.37,0.975,Mixed,Citrate,MPD,29.3,8.2,4,Vapor diffusion,1
P09256,317,32.6,5.84,-0.34,Alpha,Phosphate,PEG 3350,14.38,7.4,4,Microbatch,0
P09257,857,55.52,4.25,-0.078,Beta,Citrate,PEG 3350,31.7,7.4,37,Vapor diffusion,0
P09258,371,109.1,5.77,-0.543,Alpha,Phosphate,Ethanol,31.93,9.0,4,Microbatch,0
P09259,561,36.53,9.43,-0.326,Alpha,HEPES,PEG 3350,22.53,7.7,4,Vapor diffusion,1
P09260,661,43.29,5.05,-0.89,Alpha,Tris,Ethanol,19.55,4.8,4,Free interface diffusion,0
P09261,127,113.65,8.58,0.912,Alpha,Citrate,MPD,27.43,5.0,4,Hanging-drop,0
P09262,833,30.79,8.33,0.02,Alpha,HEPES,PEG 3350,5.57,5.5,25,Sitting-drop,0
P09263,388,40.65,4.64,0.466,Alpha,Citrate,Ethanol,34.95,4.2,25,Vapor diffusion,0
P09264,723,7.54,5.98,0.027,Beta,HEPES,Ethanol,35.26,6.0,25,Dialysis,1
P09265,605,109.41,5.14,0.54,Alpha,Citrate,MPD,22.68,6.1,37,Counter-diffusion,0
P09266,558,94.6,4.14,0.068,Alpha,Tris,Ethanol,5.58,7.9,37,Sitting-drop,1
P09267,287,105.69,5.04,0.403,Beta,HEPES,Ammonium sulfate,18.0,5.8,4,Hanging-drop,0
P09268,183,36.08,5.21,0.37,Mixed,Tris,Ammonium sulfate,20.93,8.7,25,Hanging-drop,1
P09269,241,104.67,5.0,0.067,Beta,Tris,Ethanol,34.42,6.1,4,Microbatch,0
P09270,405,91.47,4.55,-0.539,Beta,HEPES,PEG 3350,6.2,9.5,25,Sitting-drop,0
P09271,327,58.09,7.16,-0.576,Mixed,Citrate,Ammonium sulfate,22.78,6.6,4,Free interface diffusion,1
P09272,67,68.48,5.94,0.749,Beta,Citrate,Ammonium sulfate,21.08,8.9,20,Hanging-drop,0
P09273,573,87.35,9.45,-0.759,Mixed,HEPES,Ammonium sulfate,12.76,5.2,20,Microbatch,0
P09274,229,76.53,5.12,0.118,Alpha,HEPES,Ammonium sulfate,13.52,4.0,4,Dialysis,0
P09275,172,98.07,7.62,0.005,Beta,Phosphate,PEG 3350,25.33,6.8,20,Free interface diffusion,0
P09276,295,31.24,9.4,0.597,Mixed,Tris,MPD,38.9,6.8,20,Vapor diffusion,1
P09277,783,83.4,4.28,-0.729,Alpha,HEPES,PEG 3350,32.75,9.3,37,Free interface diffusion,0
P09278,422,70.29,7.1,0.375,Mixed,HEPES,MPD,22.5,5.1,25,Vapor diffusion,1
P09279,100,71.85,6.7,0.212,Mixed,HEPES,Ammonium sulfate,25.09,5.1,37,Microbatch,1
P09280,120,73.06,9.57,0.402,Mixed,Tris,Ammonium sulfate,25.1,6.3,37,Free interface diffusion,1
P09281,529,132.81,7.98,0.242,Beta,Tris,PEG 3350,29.55,6.8,20,Batch under oil,1
P09282,609,123.7,6.09,0.125,Alpha,Tris,PEG 3350,16.81,7.5,25,Free interface diffusion,1
P09283,68,96.29,8.27,0.853,Mixed,Tris,MPD,28.66,5.6,20,Counter-diffusion,1
P09284,823,108.89,7.5,-0.303,Alpha,Phosphate,PEG 3350,13.9,5.5,25,Counter-diffusion,0
P09285,133,11.21,6.08,-0.631,Mixed,Phosphate,Ethanol,33.1,8.6,37,Counter-diffusion,0
P09286,204,112.88,8.71,0.591,Mixed,HEPES,PEG 3350,37.91,6.7,20,Microbatch,1
P09287,614,75.49,8.01,-0.741,Beta,Tris,Ammonium sulfate,24.63,9.1,25,Batch under oil,0
P09288,668,51.07,4.03,0.359,Alpha,HEPES,PEG 3350,7.5,7.8,37,Microbatch,0
P09289,406,25.27,9.19,0.099,Mixed,Tris,Ammonium sulfate,29.91,4.3,25,Hanging-drop,1
P09290,865,15.91,6.38,-0.997,Mixed,HEPES,Ethanol,37.46,4.6,25,Microbatch,0
P09291,696,11.51,7.87,-0.52,Alpha,Citrate,Ammonium sulfate,38.05,8.8,20,Dialysis,0
P09292,492,28.46,6.38,-0.008,Mixed,Tris,PEG 3350,36.88,5.2,20,Vapor diffusion,1
P09293,118,9.37,9.29,-0.341,Beta,HEPES,MPD,24.72,4.9,25,Vapor diffusion,1
P09294,572,111.23,7.91,-0.146,Beta,HEPES,Ethanol,37.13,8.9,20,Counter-diffusion,0
P09295,192,41.05,7.48,0.203,Beta,Tris,Ethanol,14.38,9.2,37,Sitting-drop,0
P09296,241,58.47,9.88,0.462,Mixed,Tris,PEG 3350,10.04,7.6,20,Counter-diffusion,1
P09297,436,124.29,5.68,-0.698,Beta,Phosphate,Ethanol,21.68,4.6,37,Microbatch,0
P09298,427,21.63,4.39,-0.434,Mixed,HEPES,Ammonium sulfate,6.08,4.1,20,Hanging-drop,0
P09299,630,126.16,7.1,0.273,Beta,Citrate,MPD,7.7,7.3,4,Counter-diffusion,0
P09300,584,97.73,6.54,0.177,Alpha,Phosphate,PEG 3350,26.05,4.3,37,Dialysis,0
P09301,742,54.59,6.73,0.474,Beta,Tris,Ethanol,29.64,7.0,20,Sitting-drop,1
P09302,342,22.08,7.72,0.281,Alpha,Citrate,Ammonium sulfate,9.85,6.2,37,Microbatch,0
P09303,58,18.27,7.69,-0.34,Beta,HEPES,Ammonium sulfate,16.95,4.2,25,Hanging-drop,0
P09304,320,53.65,6.35,-0.002,Mixed,Phosphate,Ethanol,33.27,9.2,20,Sitting-drop,0
P09305,436,25.35,9.18,0.769,Alpha,Phosphate,PEG 3350,12.03,4.0,25,Sitting-drop,0
P09306,142,43.82,7.91,-0.628,Alpha,HEPES,Ammonium sulfate,36.17,5.9,37,Vapor diffusion,0
P09307,578,12.68,9.34,-0.247,Mixed,Citrate,Ethanol,24.66,8.4,25,Hanging-drop,0
P09308,203,91.28,9.48,0.683,Alpha,Tris,PEG 3350,25.77,9.4,25,Batch under oil,0
P09309,454,26.07,5.0,-0.272,Alpha,Phosphate,PEG 3350,10.25,4.2,20,Sitting-drop,0
P09310,889,114.73,8.08,-0.176,Mixed,HEPES,Ammonium sulfate,7.16,9.2,25,Vapor diffusion,1
P09311,198,36.64,5.91,-0.362,Alpha,Tris,PEG 3350,17.7,5.9,20,Vapor diffusion,1
P09312,938,120.71,9.02,0.799,Alpha,Tris,MPD,8.32,4.9,25,Vapor diffusion,0
P09313,316,32.53,8.4,0.327,Mixed,Citrate,Ammonium sulfate,8.49,8.5,25,Free interface diffusion,0
P09314,471,109.6,5.19,-0.582,Alpha,HEPES,PEG 3350,38.21,7.5,20,Dialysis,1
P09315,889,53.3,9.63,0.499,Mixed,Tris,MPD,7.38,4.5,37,Free interface diffusion,0
P09316,667,89.55,8.1,-0.923,Alpha,Tris,MPD,20.38,7.4,25,Vapor diffusion,1
P09317,521,10.61,9.69,-0.207,Mixed,Phosphate,Ammonium sulfate,31.46,8.5,25,Sitting-drop,0
P09318,942,76.81,5.21,0.82,Beta,Tris,Ethanol,14.96,7.0,25,Vapor diffusion,1
P09319,596,26.56,9.22,0.38,Alpha,HEPES,PEG 3350,22.42,5.9,20,Vapor diffusion,1
P09320,680,75.52,8.01,0.586,Alpha,Phosphate,MPD,17.6,5.2,37,Batch under oil,0
P09321,575,25.5,7.31,0.863,Beta,Citrate,Ammonium sulfate,29.97,8.1,20,Microbatch,0
P09322,552,68.38,8.92,0.549,Beta,Phosphate,PEG 3350,26.34,6.2,25,Hanging-drop,0
P09323,63,21.04,7.8,-0.823,Mixed,Citrate,Ethanol,15.81,8.6,37,Hanging-drop,0
P09324,827,36.89,8.02,-0.539,Alpha,HEPES,PEG 3350,27.11,8.2,4,Counter-diffusion,0
P09325,701,91.29,5.52,-0.0,Alpha,Citrate,Ethanol,5.11,8.1,37,Dialysis,0
P09326,855,146.62,8.9,-0.972,Mixed,Citrate,PEG 3350,28.49,8.4,20,Hanging-drop,0
P09327,413,70.13,7.9,0.249,Beta,Citrate,PEG 3350,32.36,7.1,4,Hanging-drop,0
P09328,168,104.64,9.07,0.314,Alpha,Citrate,Ethanol,5.24,8.3,20,Dialysis,0
P09329,287,83.22,6.11,0.393,Beta,Citrate,Ethanol,28.12,8.8,20,Free interface diffusion,0
P09330,595,77.26,5.99,0.111,Mixed,Phosphate,Ammonium sulfate,24.24,5.7,20,Vapor diffusion,1
P09331,218,14.38,4.14,-0.095,Alpha,Tris,Ammonium sulfate,14.9,5.4,25,Free interface diffusion,0
P09332,571,25.92,8.61,0.711,Mixed,Phosphate,Ethanol,11.93,6.5,37,Sitting-drop,1
P09333,683,133.04,5.98,0.535,Mixed,Phosphate,MPD,38.51,7.0,4,Counter-diffusion,0
P09334,962,64.47,5.96,0.225,Alpha,HEPES,PEG 3350,21.86,4.2,20,Hanging-drop,0
P09335,706,94.08,8.13,-0.908,Beta,Tris,Ethanol,21.03,5.0,4,Vapor diffusion,1
P09336,784,81.59,5.52,0.388,Beta,Tris,MPD,34.63,4.1,20,Sitting-drop,0
P09337,932,59.94,9.45,0.116,Mixed,HEPES,MPD,18.39,7.1,25,Vapor diffusion,1
P09338,818,61.23,7.23,0.387,Mixed,Tris,Ammonium sulfate,33.2,8.2,4,Sitting-drop,1
P09339,829,85.54,9.82,-0.377,Beta,Citrate,Ammonium sulfate,24.86,8.5,20,Sitting-drop,0
P09340,920,25.47,4.46,0.554,Mixed,Tris,PEG 3350,12.38,7.1,25,Dialysis,1
P09341,565,61.15,6.02,-0.164,Mixed,HEPES,Ammonium sulfate,17.28,4.2,20,Microbatch,1
P09342,987,69.81,6.29,0.789,Alpha,Phosphate,PEG 3350,5.81,7.2,37,Vapor diffusion,0
P09343,446,147.84,8.38,-0.792,Mixed,Tris,Ethanol,20.4,6.2,25,Counter-diffusion,1
P09344,915,55.96,5.28,-0.031,Mixed,Citrate,PEG 3350,37.78,8.7,4,Free interface diffusion,0
P09345,155,98.46,6.25,-0.589,Alpha,HEPES,Ammonium sulfate,27.12,6.2,20,Counter-diffusion,1
P09346,134,24.93,9.46,-0.093,Beta,Tris,Ammonium sulfate,25.23,8.0,25,Vapor diffusion,1
P09347,263,14.49,4.69,-0.292,Alpha,Phosphate,MPD,35.44,5.1,25,Dialysis,0
P09348,170,131.37,8.47,0.607,Beta,Citrate,Ammonium sulfate,9.28,9.1,20,Microbatch,0
P09349,181,110.96,8.21,-0.666,Alpha,HEPES,MPD,32.87,5.6,4,Vapor diffusion,0
P09350,899,51.04,4.78,0.197,Mixed,HEPES,Ammonium sulfate,29.42,4.0,20,Sitting-drop,1
P09351,246,78.16,8.13,-0.187,Beta,Citrate,MPD,23.53,4.4,37,Vapor diffusion,0
P09352,68,24.68,7.42,0.036,Alpha,HEPES,PEG 3350,18.48,5.3,37,Dialysis,1
P09353,691,107.54,5.73,0.429,Alpha,HEPES,PEG 3350,6.24,4.9,20,Microbatch,0
P09354,61,15.2,5.87,-0.286,Beta,Phosphate,PEG 3350,26.63,5.0,4,Counter-diffusion,0
P09355,130,114.77,9.0,-0.266,Beta,Tris,MPD,24.93,7.2,37,Free interface diffusion,1
P09356,379,84.29,5.39,-0.846,Beta,Citrate,PEG 3350,14.97,6.6,20,Vapor diffusion,0
P09357,915,45.43,7.08,0.104,Beta,Tris,Ethanol,14.61,7.9,4,Counter-diffusion,0
P09358,823,130.07,8.09,-0.166,Alpha,Phosphate,PEG 3350,17.52,8.3,20,Microbatch,0
P09359,441,147.98,4.78,0.625,Beta,Tris,PEG 3350,20.17,6.8,25,Batch under oil,1
P09360,686,41.88,9.59,-0.121,Beta,Phosphate,MPD,30.83,7.3,37,Dialysis,0
P09361,356,121.91,5.56,0.942,Beta,Tris,PEG 3350,22.93,8.3,4,Free interface diffusion,0
P09362,316,113.77,5.91,-0.656,Mixed,Citrate,Ammonium sulfate,10.26,4.5,37,Free interface diffusion,0
P09363,496,113.34,8.0,-0.466,Beta,HEPES,MPD,36.2,6.4,25,Hanging-drop,0
P09364,490,143.8,4.47,-0.216,Mixed,Citrate,PEG 3350,21.77,6.9,25,Counter-diffusion,1
P09365,944,75.56,7.77,-0.659,Beta,HEPES,Ethanol,36.4,7.3,37,Microbatch,0
P09366,701,102.75,9.5,0.945,Beta,Citrate,MPD,26.46,7.0,25,Vapor diffusion,1
P09367,890,124.46,5.49,0.282,Alpha,HEPES,PEG 3350,24.92,5.9,4,Counter-diffusion,0
P09368,51,74.53,6.17,-0.978,Alpha,Tris,Ethanol,16.7,5.6,37,Microbatch,0
P09369,569,74.81,5.39,0.157,Alpha,Tris,MPD,38.99,6.4,37,Batch under oil,0
P09370,811,51.2,8.91,0.562,Alpha,HEPES,Ammonium sulfate,39.41,4.4,4,Vapor diffusion,0
P09371,700,118.22,5.01,-0.897,Beta,Tris,Ammonium sulfate,17.7,6.6,20,Microbatch,1
P09372,685,104.5,6.08,0.156,Mixed,Phosphate,PEG 3350,32.63,9.3,20,Batch under oil,0
P09373,358,70.42,7.61,-0.251,Beta,Citrate,Ethanol,14.45,4.3,20,Sitting-drop,0
P09374,789,65.8,6.43,0.163,Beta,Citrate,Ammonium sulfate,26.48,4.8,37,Free interface diffusion,0
P09375,571,15.53,4.39,-0.495,Beta,Citrate,Ethanol,28.48,7.5,37,Counter-diffusion,0
P09376,518,5.94,9.69,0.332,Alpha,HEPES,Ammonium sulfate,39.45,7.9,20,Batch under oil,0
P09377,261,81.69,6.03,0.343,Beta,HEPES,MPD,15.09,6.6,25,Counter-diffusion,1
P09378,161,65.54,6.67,0.079,Beta,Citrate,Ammonium sulfate,29.71,9.0,37,Batch under oil,0
P09379,57,120.43,5.01,0.848,Mixed,HEPES,Ethanol,13.59,6.6,4,Counter-diffusion,1
P09380,853,83.68,9.19,0.819,Alpha,Phosphate,Ethanol,6.26,4.6,4,Microbatch,0
P09381,526,140.82,5.75,-0.905,Mixed,Phosphate,PEG 3350,14.98,6.6,4,Vapor diffusion,1
P09382,923,33.44,4.12,-0.42,Mixed,Citrate,MPD,32.52,6.8,25,Dialysis,1
P09383,509,148.57,5.9,-0.271,Beta,Tris,Ammonium sulfate,37.79,6.4,37,Dialysis,1
P09384,302,48.2,9.9,-0.889,Mixed,Tris,MPD,5.91,9.0,4,Batch under oil,0
P09385,575,98.15,4.88,0.047,Mixed,Tris,MPD,8.92,6.6,25,Counter-diffusion,1
P09386,801,77.77,4.19,-0.951,Beta,Citrate,Ethanol,17.94,7.8,20,Hanging-drop,0
P09387,487,57.14,7.47,0.356,Alpha,HEPES,PEG 3350,20.84,6.8,4,Free interface diffusion,1
P09388,803,25.2,6.23,-0.995,Beta,Citrate,MPD,37.48,8.0,20,Sitting-drop,0
P09389,903,24.55,8.77,-0.936,Alpha,Citrate,Ethanol,5.73,4.6,4,Batch under oil,0
P09390,710,108.17,8.39,0.668,Mixed,Citrate,Ammonium sulfate,34.72,9.2,20,Vapor diffusion,0
P09391,285,59.76,5.11,-0.495,Alpha,Tris,Ethanol,23.01,7.4,37,Vapor diffusion,1
P09392,355,144.39,7.39,-0.838,Beta,Tris,PEG 3350,12.52,5.7,37,Counter-diffusion,0
P09393,527,52.22,4.19,-0.201,Alpha,Tris,Ethanol,11.86,5.3,37,Hanging-drop,0
P09394,728,147.61,6.64,-0.898,Beta,Citrate,MPD,6.75,8.1,4,Microbatch,0
P09395,69,34.79,8.28,0.501,Beta,HEPES,Ethanol,13.62,5.5,25,Free interface diffusion,0
P09396,265,19.91,6.49,-0.012,Beta,HEPES,Ethanol,39.11,6.5,20,Sitting-drop,1
P09397,904,50.32,4.71,0.104,Alpha,HEPES,Ethanol,32.93,7.4,20,Batch under oil,0
P09398,184,133.41,4.37,0.506,Mixed,HEPES,MPD,38.68,8.7,25,Vapor diffusion,1
P09399,954,80.67,9.12,0.569,Mixed,HEPES,PEG 3350,10.43,8.6,25,Free interface diffusion,0
P09400,178,24.67,9.35,-0.727,Mixed,HEPES,Ammonium sulfate,24.22,7.7,37,Microbatch,1
P09401,459,34.36,6.06,-0.439,Alpha,Citrate,MPD,37.62,5.5,37,Vapor diffusion,0
P09402,471,50.13,4.99,-0.649,Alpha,Phosphate,Ammonium sulfate,28.11,4.9,20,Hanging-drop,0
P09403,343,90.57,9.87,-0.892,Alpha,Tris,Ammonium sulfate,5.7,7.0,25,Microbatch,0
P09404,295,53.19,7.28,0.075,Alpha,HEPES,MPD,7.44,8.8,20,Dialysis,0
P09405,750,113.32,6.86,-0.5,Beta,Tris,MPD,19.76,6.2,20,Counter-diffusion,1
P09406,605,94.36,8.45,-0.692,Beta,Phosphate,MPD,18.45,8.1,37,Hanging-drop,0
P09407,135,131.7,5.01,0.02,Mixed,Phosphate,MPD,36.14,8.6,20,Dialysis,0
P09408,605,77.64,7.48,0.268,Alpha,Citrate,PEG 3350,32.31,5.4,20,Microbatch,0
P09409,891,53.02,9.34,0.544,Mixed,HEPES,PEG 3350,9.63,9.3,37,Hanging-drop,0
P09410,424,149.46,4.14,-0.965,Beta,Phosphate,Ethanol,8.13,5.4,37,Batch under oil,0
P09411,495,56.57,8.04,0.053,Alpha,Tris,Ammonium sulfate,35.34,7.2,25,Microbatch,0
P09412,427,67.15,7.31,-0.466,Mixed,Phosphate,Ammonium sulfate,20.74,7.7,20,Free interface diffusion,1
P09413,439,122.32,9.7,0.983,Alpha,Citrate,MPD,10.93,7.0,25,Free interface diffusion,0
P09414,706,17.85,5.55,-0.686,Mixed,Citrate,MPD,36.45,7.4,4,Sitting-drop,1
P09415,100,61.04,9.15,-0.124,Alpha,Phosphate,Ammonium sulfate,30.21,5.2,20,Microbatch,0
P09416,291,17.43,5.85,0.94,Mixed,Phosphate,MPD,10.74,4.8,37,Dialysis,0
P09417,343,25.2,6.58,-0.574,Alpha,HEPES,PEG 3350,26.22,4.1,4,Counter-diffusion,0
P09418,969,5.67,5.28,0.614,Mixed,Phosphate,Ethanol,21.42,7.3,25,Sitting-drop,1
P09419,612,6.38,9.18,-0.514,Beta,Tris,Ethanol,13.97,9.1,37,Counter-diffusion,0
P09420,315,60.14,5.17,-0.849,Mixed,HEPES,Ammonium sulfate,25.69,7.7,20,Hanging-drop,1
P09421,169,122.33,9.15,-0.914,Mixed,Phosphate,PEG 3350,20.41,7.6,37,Dialysis,1
P09422,761,90.12,6.73,0.897,Beta,HEPES,PEG 3350,24.66,6.9,25,Counter-diffusion,1
P09423,966,97.06,9.01,-0.574,Beta,HEPES,MPD,15.26,7.4,25,Free interface diffusion,1
P09424,297,80.29,5.59,-0.416,Mixed,HEPES,MPD,30.38,8.0,20,Vapor diffusion,1
P09425,119,123.87,4.8,0.934,Alpha,Citrate,MPD,19.93,4.8,20,Vapor diffusion,0
P09426,902,132.65,7.33,0.315,Beta,Citrate,Ethanol,33.46,8.0,25,Dialysis,0
P09427,106,128.21,7.06,-0.024,Alpha,Phosphate,Ethanol,26.28,4.9,37,Dialysis,0
P09428,431,122.76,6.14,-0.129,Beta,Citrate,PEG 3350,13.52,5.6,37,Batch under oil,0
P09429,88,31.49,7.98,-0.903,Mixed,Phosphate,PEG 3350,16.93,5.9,4,Sitting-drop,1
P09430,850,91.11,4.57,0.678,Mixed,Tris,PEG 3350,15.03,5.6,37,Batch under oil,1
P09431,492,89.41,7.73,0.524,Beta,HEPES,MPD,17.58,6.9,37,Microbatch,1
P09432,67,81.55,5.27,-0.819,Mixed,Phosphate,Ethanol,11.0,7.1,37,Free interface diffusion,0
P09433,781,74.72,4.77,-0.293,Alpha,Citrate,MPD,21.65,8.5,25,Hanging-drop,0
P09434,874,17.93,9.46,0.771,Mixed,Citrate,MPD,6.72,7.2,20,Vapor diffusion,1
P09435,805,19.81,6.76,-0.527,Mixed,Citrate,Ethanol,17.18,9.5,4,Hanging-drop,0
P09436,401,135.83,8.58,0.222,Mixed,Citrate,MPD,19.94,7.8,25,Free interface diffusion,1
P09437,865,96.38,4.53,-0.024,Beta,Phosphate,Ethanol,31.74,8.0,25,Hanging-drop,0
P09438,347,43.04,4.34,0.637,Beta,Citrate,Ammonium sulfate,35.19,9.5,20,Dialysis,0
P09439,332,45.5,6.97,-0.928,Mixed,Tris,PEG 3350,32.05,5.3,4,Batch under oil,0
P09440,635,93.48,5.89,0.632,Beta,Phosphate,Ammonium sulfate,7.87,7.6,37,Hanging-drop,0
P09441,159,64.01,4.03,-0.729,Alpha,Tris,PEG 3350,28.17,8.9,20,Counter-diffusion,0
P09442,229,68.99,5.1,-0.97,Alpha,Tris,PEG 3350,34.83,9.3,25,Dialysis,0
P09443,987,13.79,5.31,0.191,Alpha,HEPES,Ammonium sulfate,23.51,6.5,37,Vapor diffusion,1
P09444,593,25.12,5.73,-0.483,Alpha,Tris,Ethanol,37.74,6.4,25,Vapor diffusion,1
P09445,795,62.04,9.27,0.419,Mixed,Tris,MPD,35.93,4.5,20,Free interface diffusion,0
P09446,843,106.45,6.52,-0.06,Beta,HEPES,Ammonium sulfate,35.73,9.0,25,Batch under oil,0
P09447,74,11.96,8.08,0.211,Alpha,Phosphate,PEG 3350,38.74,9.2,20,Batch under oil,0
P09448,892,53.51,4.11,0.379,Mixed,Phosphate,Ethanol,31.79,8.9,37,Free interface diffusion,0
P09449,840,105.79,8.88,0.854,Alpha,Phosphate,Ammonium sulfate,29.01,5.2,4,Counter-diffusion,0
P09450,787,119.85,5.44,0.646,Beta,Tris,Ethanol,31.35,5.7,20,Vapor diffusion,0
P09451,106,32.58,5.85,-0.01,Beta,Tris,Ammonium sulfate,17.53,9.2,20,Counter-diffusion,0
P09452,229,111.07,4.27,-0.124,Beta,Phosphate,Ammonium sulfate,5.29,7.4,25,Sitting-drop,0
P09453,281,143.53,6.46,0.309,Alpha,Phosphate,Ethanol,6.54,7.5,37,Hanging-drop,0
P09454,943,136.49,9.12,0.467,Alpha,Tris,Ethanol,34.84,6.3,25,Vapor diffusion,1
P09455,392,119.46,6.27,-0.655,Alpha,Citrate,Ethanol,19.35,7.4,4,Sitting-drop,1
P09456,526,108.29,9.45,-0.935,Mixed,Citrate,Ethanol,17.68,4.9,37,Dialysis,1
P09457,848,39.1,9.2,-0.091,Mixed,HEPES,Ammonium sulfate,26.44,9.2,4,Counter-diffusion,1
P09458,625,96.92,4.37,-0.801,Beta,Phosphate,MPD,9.9,9.2,25,Hanging-drop,0
P09459,504,98.27,5.83,-0.455,Beta,Phosphate,Ethanol,24.04,8.7,4,Vapor diffusion,0
P09460,281,63.99,9.46,0.169,Alpha,HEPES,Ammonium sulfate,34.25,5.4,20,Batch under oil,0
P09461,338,76.49,4.18,-0.697,Beta,HEPES,Ethanol,19.89,8.8,4,Sitting-drop,1
P09462,262,105.63,8.59,-0.943,Beta,HEPES,MPD,23.13,7.9,25,Vapor diffusion,1
P09463,307,143.05,9.44,0.109,Mixed,HEPES,Ammonium sulfate,10.76,5.4,4,Free interface diffusion,0
P09464,579,47.82,8.62,-0.068,Beta,Phosphate,MPD,30.79,8.6,25,Batch under oil,0
P09465,736,40.72,8.46,-0.387,Alpha,Phosphate,Ammonium sulfate,24.67,4.5,37,Batch under oil,0
P09466,978,92.26,9.06,-0.062,Mixed,Citrate,Ammonium sulfate,24.32,7.9,4,Dialysis,1
P09467,278,23.97,7.99,0.367,Alpha,Citrate,Ethanol,12.9,9.5,20,Dialysis,0
P09468,275,89.47,6.54,-0.782,Alpha,Tris,MPD,37.11,6.4,37,Hanging-drop,0
P09469,645,17.88,4.38,-0.489,Mixed,Phosphate,PEG 3350,17.05,7.4,4,Counter-diffusion,1
P09470,852,76.13,8.73,0.59,Alpha,Tris,MPD,38.64,5.2,25,Hanging-drop,0
P09471,484,94.96,9.43,0.34,Beta,Phosphate,PEG 3350,16.96,6.6,37,Free interface diffusion,0
P09472,931,15.17,7.07,-0.467,Beta,Phosphate,MPD,36.51,4.6,37,Microbatch,0
P09473,807,35.01,7.2,-0.204,Mixed,Citrate,Ethanol,24.55,7.8,4,Counter-diffusion,1
P09474,451,53.63,6.42,-0.761,Beta,Citrate,MPD,7.24,8.3,25,Hanging-drop,0
P09475,671,58.45,9.14,-0.494,Alpha,Tris,MPD,38.4,7.2,20,Vapor diffusion,1
P09476,815,103.04,4.09,0.682,Mixed,Tris,PEG 3350,16.64,8.1,25,Microbatch,1
P09477,137,81.71,7.75,-0.119,Mixed,HEPES,PEG 3350,33.49,7.8,25,Hanging-drop,1
P09478,633,60.41,9.44,0.281,Alpha,Tris,MPD,24.8,9.1,37,Dialysis,1
P09479,942,70.35,4.62,-0.681,Alpha,Phosphate,Ethanol,13.55,6.6,25,Counter-diffusion,0
P09480,591,6.88,9.75,-0.633,Alpha,Phosphate,PEG 3350,9.91,7.0,37,Batch under oil,0
P09481,733,116.73,9.81,0.882,Mixed,Phosphate,Ethanol,13.21,6.0,37,Microbatch,0
P09482,358,10.95,9.58,0.683,Mixed,Citrate,PEG 3350,24.07,5.9,4,Counter-diffusion,0
P09483,955,125.25,6.78,0.581,Alpha,HEPES,Ammonium sulfate,22.78,8.5,4,Sitting-drop,1
P09484,392,83.44,6.3,-0.341,Mixed,Phosphate,Ammonium sulfate,14.45,9.1,4,Vapor diffusion,0
P09485,485,81.53,8.24,0.126,Alpha,HEPES,Ammonium sulfate,10.5,5.7,4,Hanging-drop,0
P09486,226,107.16,5.91,-0.015,Beta,HEPES,Ammonium sulfate,17.27,6.3,25,Vapor diffusion,1
P09487,188,129.64,4.41,0.912,Mixed,Phosphate,Ammonium sulfate,10.56,5.9,20,Dialysis,0
P09488,243,141.68,9.41,-0.521,Mixed,HEPES,Ammonium sulfate,22.72,8.7,20,Counter-diffusion,1
P09489,235,83.79,7.81,0.894,Mixed,Phosphate,Ethanol,20.17,9.2,20,Sitting-drop,1
P09490,267,26.85,5.24,0.414,Alpha,Phosphate,Ethanol,20.71,9.0,4,Hanging-drop,0
P09491,213,132.4,4.11,-0.173,Mixed,Phosphate,PEG 3350,14.14,4.1,37,Hanging-drop,0
P09492,210,10.9,8.34,-0.467,Alpha,Citrate,MPD,8.27,5.0,4,Microbatch,0
P09493,992,122.06,9.12,0.515,Mixed,Citrate,MPD,25.52,8.9,37,Microbatch,0
P09494,574,103.66,6.43,0.646,Mixed,Tris,MPD,39.09,6.9,20,Microbatch,1
P09495,857,136.19,4.49,-0.285,Mixed,Phosphate,MPD,28.41,6.1,25,Dialysis,1
P09496,650,135.13,7.89,-0.656,Mixed,Phosphate,Ammonium sulfate,36.08,6.2,37,Free interface diffusion,0
